,Unnamed: 0,id,poster_path,adult,overview,release_date,genre_ids,original_title,original_language,title,backdrop_path,popularity,vote_count,video,vote_average,media_type,budget,duration,revenues,spoken_languagess,genre_list,is_terror_comedia,val_count,quantile,count_labels,Música,Romance,Familia,Bélica,Película de TV,Aventura,Fantasía,Animación,Drama,Terror,Acción,Comedia,Historia,Western,Suspense,Crimen,Ciencia ficción,Misterio,Documental,reciente
10,19,836225,/wHA9cysdFmGDfIvu9iEpu19w9GK.jpg,False,"Un sacerdote estadounidense que trabaja en México es considerado un santo por muchos feligreses locales. Sin embargo, debido a un exorcismo fallido, guarda un secreto que lo está comiendo vivo hasta que tenga la oportunidad de enfrentarse a su demonio por última vez.",2022-03-11,27,The Exorcism of God,en,El Exorcismo De Dios,/b1L7qevxiVpkVFq4dmdQPGFPWH0.jpg,221.416,811,False,7.2,movie,1500000,98,0,"{'english_name': 'Spanish', 'iso_639_1': 'es', 'name': 'Español'}",['27'],0,2571,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
11,20,882598,/szII7Fo0TWePGNI7CoWnAdESdZ5.jpg,False,"Tras presenciar un extraño y traumático incidente con un paciente, la doctora Rose Cotter (Sosie Bacon) comienza a experimentar sucesos aterradores que no puede explicar. A medida que un miedo sobrecogedor comienza a afectar a todos los aspectos de su vida, Rose se verá obligada a afrontar a su problemático pasado para sobrevivir y escapar de su terrorífica nueva realidad.",2022-09-30,27-9648-53,Smile,en,Smile,/kMZIMqEXO5MFd5Y1Ha2jZZF4pvF.jpg,230.019,1886,False,6.8,movie,17000000,115,216135048,"{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}","['27', '9648', '53']",1,254,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
12,21,782936,/bdjdZPgCRFqa0cgXLz8mDsUtiqP.jpg,False,"Una diseñadora de moda sufre una enfermedad misteriosa que desconcierta a sus médicos y frustra a su esposo, hasta que llega la ayuda de un cuidador filipino, que usa la curación popular tradicional para revelar una verdad horrible.",2022-11-04,9648-53-27,Nocebo,en,Efecto nocebo,/9irF0UfKK45ZHyE7p3aTiTVfoMw.jpg,201.589,66,False,6.3,movie,0,96,0,"{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}","['9648', '53', '27']",1,45,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
13,22,575322,/xXFZDgUYuC6EgWn5c8XIQZCHQ9s.jpg,False,"Una misión espacial es enviada para terraformar un planeta distante. Sin embargo, la misión se encuentra con algo desconocido que tiene su propio plan para el planeta.",2022-03-15,878-27,Звёздный разум,en,Géminis: El planeta oscuro,/etP5jwlwvkNhwe7jnI2AyA6ZKrR.jpg,204.74,314,False,5.8,movie,0,98,0,"{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}","['878', '27']",0,110,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
14,24,931954,/yGpJbft7JQpQHHHasRr4wWdVcuJ.jpg,False,"Lucía, una bailarina de discoteca dada a la fuga, se refugia en un siniestro edificio de la periferia de Madrid donde su hermana Rocío vive con su hija Alba.",2022-09-23,18-27-53,Venus,es,Venus,/sxQuWAUnyZCSJnjXhcGrCP6ASUy.jpg,194.673,79,False,5.5,movie,0,101,0,"{'english_name': 'Spanish', 'iso_639_1': 'es', 'name': 'Español'}","['18', '27', '53']",1,153,0,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1
15,25,717728,/a2urR1CDUQEIu43PDMeBU9wjk1F.jpg,False,"El Horror Hound festival celebra su primer evento en Luisiana, donde atrae a cientos de fanes del terror; entre ellos se encuentra Laine que, obligada a asistir por Chase, su novio, comienza a experimentar premoniciones inexplicables y visiones inquietantes relacionadas con el pasado de la ciudad y con El Creeper. A medida que avanza el festival y el entretenimiento empapado de sangre se convierte en un frenesí, Laine cree que algo sobrenatural ha sido convocado y que ella está en el centro de todo",2022-09-19,27-53-9648,Jeepers Creepers: Reborn,en,Jeepers Creepers: El renacer,/tIX6j3NzadlwGcJ52nuWdmtOQkg.jpg,186.944,733,False,5.8,movie,5000000,88,5954938,"{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}","['27', '53', '9648']",1,112,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
16,26,955991,/eodXetH5ozVr6iiVVRk6Hostonv.jpg,False,"Desesperado por pagar sus deudas, un hombre intenta secretamente manipular a su padre para que venda su funeraria. Sin saberlo, desatará a un espíritu maligno que tiene la mirada puesta en su esposa embarazada.",2022-09-23,27,The Offering,en,The Offering,/jDkmlTz9xBmhsIIyORb68VqRlL2.jpg,183.582,112,False,5.7,movie,0,93,0,"{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}",['27'],0,2571,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
17,27,109428,/oyQQOW3Be36MRRC3Rwd7Qubugxj.jpg,False,"Cinco amigos se alojan en una cabaña de Tenessee para así poder ayudar a una de los jóvenes, que se encuentra en rehabilitación por drogas. Estar sin sus drogas convierte a la chica en una persona agresiva, lo que llevará a sus amigos a no darse cuenta de que en realidad esta poseída por demonios que fueron desatados al leer el Necromicon... Remake del clásico de Raimi.",2013-04-05,27,Evil Dead,en,Posesión infernal (Evil Dead),/c0rYFlL76pAg6zExn0etOWOofjr.jpg,207.54,3973,False,6.5,movie,17000000,96,97542952,"{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}",['27'],0,2571,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10
18,28,826753,/r7ZipEd9oHHVVXTcvbx3Sd3Tukv.jpg,False,"Remy, una joven aparentemente ingenua y devota, se ve expulsada de su culto religioso. Sin lugar a donde acudir, se sumerge en el mundo subterráneo de las trabajadoras sexuales de las paradas de camiones. Bajo la atenta mirada de su matriarca y un enigmático representante de la ley local, Remy navega entre su tenso sistema de creencias y el código para encontrar su verdadera vocación en la vida.",2023-01-06,27-53,Candy Land,en,Candy Land,/pbIWKBWdVF61mEDLF9KCNUXEVpJ.jpg,164.886,56,False,6.5,movie,0,93,0,"{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}","['27', '53']",1,1068,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
19,29,960258,/rR5CVAPNYTAN9ivapgnDtyQGpPl.jpg,False,Un grupo de amigos que disfrutan de un fin de semana roban un par de motos acuáticas que los llevan al mar y terminan en una horrible colisión frontal. Luchan por encontrar el camino a casa con un amigo gravemente herido mientras los depredadores acechan en las aguas debajo.,2022-05-13,27-53-28-12,Shark Bait,en,Mar de sangre,/dvHKdXijoN1OEzGcPhd0eRvkfMd.jpg,161.453,224,False,5.9,movie,0,87,0,"{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}","['27', '53', '28', '12']",1,2,0,4,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1
