,id,title,release_date,key,characters,genre
69,628770,Sons of Apollo: Live With The Plovdiv Psychotic Symphony,2019-08-30,Psycho,,[10402]
70,616318,Psycho Ranger,2010-02-01,Psycho,Steve,[27]
71,925931,Psychopompos,2019-09-13,Psycho,Maxmilián,"[14, 27]"
72,741860,Psychorigid,2017-11-27,Psycho,[],[]
73,690890,Psychos & Socios,2020-03-23,Psycho,Aaron,[]
74,1006415,PSYCHO=,2009-01-23,Psycho,Ken,"[27, 53]"
75,1017133,The Trainer: The King Of Psycho,2015-03-04,Psycho,[],[]
76,473295,Acoso nupcial,2017-10-03,Psycho,Jenna Kravitz,"[53, 10770]"
77,648819,A Psycho's Path,2019-11-15,Psycho,John Doe,[27]
78,366692,Margaret Cho: PsyCHO,2015-09-25,Psycho,Self,[35]
79,48789,Amor asesino,1987-05-01,Psycho,Joe,"[35, 27]"
80,601453,Psycho Granny,2019-05-18,Psycho,Colleen,"[53, 10770]"
81,88870,The Making of 'Psycho',2005-10-26,Psycho,Self (archive footage),[99]
82,734418,Psycho Sister-In-Law,2020-08-16,Psycho,Haley Downes,"[53, 10770]"
83,71485,Trick The Movie: Psychic Battle Royale,2010-05-08,Psycho,Naoko Yamada,"[28, 53, 878]"
84,532912,Psychonautics: A Comic's Exploration of Psychedelics,2018-06-15,Psycho,,[]
85,863831,The Girl in Cabin 13,2021-08-21,Psycho,Sunny,[27]
86,672541,Psycho Escort,2020-02-14,Psycho,Diane,"[53, 10770]"
87,267794,Psycho Sleepover,2008-10-18,Psycho,Marilyn Saunders,"[27, 35, 28]"
88,448862,Psychos,2017-03-17,Psycho,Sasha,[]
89,642889,Psycho,2020-01-24,Psycho,Gautham,"[53, 18]"
90,952603,Psycho Sweet 16,2022-03-17,Psycho,Dylan,"[10770, 53, 18, 80]"
91,68485,The Legend of the Psychotic Forest Ranger,2011-08-17,Psycho,Beth,"[35, 27]"
92,89994,The Psycho Legacy,2010-10-19,Psycho,Self (archive footage),"[99, 27]"
93,74397,The Psychopath,1966-02-04,Psycho,Inspector Holloway,"[53, 80, 27, 9648]"
94,53999,Psicosis en mis Súper Dulces 16: Parte 2,2010-10-22,Psycho,Skye Rotter,"[27, 35, 10770]"
95,770393,I Dream of a Psychopomp,2021-12-12,Psycho,"Elayna (segment ""Until Forever"")",[27]
96,37422,Anatomy of a Psycho,1961-06-14,Psycho,Mickey,"[80, 27, 9648, 53]"
97,390996,Shot! The Psycho-Spiritual Mantra of Rock,2017-07-21,Psycho,The Model,"[99, 10402]"
98,422514,Killjoy's Psycho Circus,2016-10-30,Psycho,Dyna Myte,[27]
99,637381,Psychosynthesis,2020-07-09,Psycho,Michael,[53]
100,39805,Psycho Ward,2007-10-27,Psycho,Lisa Magellan,"[27, 53]"
101,363439,Secrets of a Psychopath,2015-11-03,Psycho,Catherine,"[53, 27]"
102,223323,Psychopath,1998-09-22,Psycho,Rachel Dwyer,[53]
103,500957,Psychotic!,2016-10-15,Psycho,Roxy Miller,"[27, 35]"
104,753478,The Way of the Psychonaut,2020-10-14,Psycho,Himself,[99]
105,100190,Psycho Pike,1992-01-01,Psycho,Reg,[27]
106,75738,Psycho Holocaust,2009-01-01,Psycho,Talina,[27]
107,50979,The Psycho Lover,1970-03-01,Psycho,Kenneth Alden,[27]
108,100662,The Psychotronic Man,1980-04-01,Psycho,Rocky Foscoe,"[878, 27]"
109,327958,Psychohydrography,2010-10-01,Psycho,[],[99]
110,413367,Psychoacoustic,2015-10-23,Psycho,Nathan,"[18, 878, 53]"
111,444949,Psycho Charlie Returns: Part 1,1997-01-01,Psycho,Psycho Charlie,[27]
112,1000497,Psycho Baby,2022-08-10,Psycho,,[]
113,121888,Pesadilla sangrienta,1989-01-01,Psycho,Dr. Werner Vogler,[27]
114,480004,Guilt by Association: Psychoanalyzing 'Spellbound',2008-03-14,Psycho,,[99]
115,98958,FILM THE PSYCHOMMUNITY REEL.2,1994-11-23,Psycho,Himself,[10402]
116,463799,Alejandro Jodorowsky's Social Psychomagic,2014-12-31,Psycho,Himself,[99]
117,588696,Mondo Psycho,2006-10-29,Psycho,,[27]
118,1102717,RTÉ Investigates: Ireland's Unregulated Psychologists,2023-03-06,Psycho,Self,[99]
119,296315,Psychomentary,2014-10-08,Psycho,Capitano Brunetti,[27]
120,947775,Blood Sick Psychosis,2022-03-14,Psycho,Pacey,[27]
121,342769,Psychopaths,2011-10-04,Psycho,Kurk,[53]
122,773500,Lost and Found in Underground: Lothar Lambert's Psycho City,2012-10-12,Psycho,[],[]
123,88362,The Dark Angel: Psycho Kickboxer,1998-06-28,Psycho,Thug,"[18, 28]"
124,323707,Psychotic,2012-02-02,Psycho,Dr. Helen Kingford,"[53, 27, 28]"
125,138900,Bloodbath in Psycho Town,1989-01-01,Psycho,Eric,"[9648, 27]"
126,214250,Cosmic Psychos: Blokes You Can Trust,2013-08-08,Psycho,Himself,"[10402, 99]"
127,748283,Psycho Ape!,2020-09-28,Psycho,Nancy Banana,"[27, 35]"
128,89654,Confessions of a Psycho Cat,1968-02-01,Psycho,Virginia Marcus (Psycho-Cat),"[27, 53]"
129,450422,Psycho Family,2017-04-03,Psycho,Mcjuggernuggets,"[99, 18]"
130,201090,American Psycho Tour Documentary,2012-07-26,Psycho,Himself,[]
131,27724,Psychopathia Sexualis,2006-06-08,Psycho,Blood Woman,"[18, 10749]"
132,30405,Space Psychos 4,2003-09-15,Psycho,,"[27, 878]"
133,998058,Photographic Studies in Hypnosis: Abnormal Psychology,1938-01-01,Psycho,[],[99]
134,88879,Psycho Diver: Soul Siren,1997-05-21,Psycho,Yuki Kanou (voice),"[16, 28, 878, 53]"
135,127183,Psychotica,2006-06-04,Psycho,Frau,"[53, 27]"
136,64519,Making a Killing: The Untold Story of Psychotropic Drugging,2008-10-24,Psycho,[],[99]
137,816807,Ed Gein: The Real Psycho,2021-11-11,Psycho,Ed Gein,"[99, 10770]"
138,85683,La Noche de los Psicópatas,1985-01-01,Psycho,Richard Foster,"[35, 27]"
139,679893,Psycho-Therapy,2019-12-04,Psycho,,[27]
140,230028,The Psychology of Scary Movies,2013-10-23,Psycho,,[99]
141,803107,JAPANARAMA! Psycho TV From Japan Vol. 1,,Psycho,,[35]
142,621817,American Psycho with Huey Lewis and Weird Al,2013-04-03,Psycho,Self,"[35, 27, 10402]"
143,708793,Psychotic,2002-04-01,Psycho,Dr. Donald,[]
144,387455,Psychokill - Tod der Schmetterlinge,2001-05-31,Psycho,,"[35, 27]"
145,310908,Girls Gone Psycho,2006-03-01,Psycho,Dylan Hapsburg,"[35, 53]"
146,775567,Psychopomp,2020-12-11,Psycho,Captain,[]
147,564604,Habeas Corpus: The Making of 'Psycho Cop Returns',2017-04-25,Psycho,Himself,[99]
148,98955,FILM THE PSYCHOMMUNITY REEL.1,1994-10-21,Psycho,Himself,[10402]
149,524698,What Makes a Psychopath?,2017-08-29,Psycho,Presenter,[99]
150,841783,Psychopath with Piers Morgan,2019-06-27,Psycho,Himself- Presenter,"[99, 80]"
151,417065,Psycho Sisters,1994-01-01,Psycho,Jackie Sicole,[27]
152,655033,Sin City Psycho,2018-10-24,Psycho,Donavan,[27]
153,703506,Pete Townshend Live in New York Featuring Psychoderelict,1993-11-16,Psycho,Himself,[]
154,1041989,Psicópatas entre nosotros,2021-10-21,Psycho,[],[99]
155,224973,Wild Colonial Psychos,2005-04-11,Psycho,Himself,[]
156,1087203,Psycho Re-Animated,2021-01-20,Psycho,Megan Halsey,[27]
157,116641,Psycho Sisters,1998-01-01,Psycho,Jackie Sicole,"[27, 53]"
158,309083,Psychotropic Overload,1994-09-01,Psycho,Steven Callahan,"[53, 27]"
159,365169,Bad Bones: The Psycho in me,2012-03-02,Psycho,Himself,[99]
160,444947,Psycho Charlie's Revenge,1997-01-01,Psycho,Psycho Charlie,[27]
161,336639,The Psychopath Next Door,2013-10-01,Psycho,Eve Wright,"[10770, 18]"
162,371746,F.M.D. - Psychogramm eines Spielers,1971-06-24,Psycho,Fjodor Michailowitsch Dostojewskij,[18]
163,903318,Psychosis,2021-07-25,Psycho,Mark Wallace,[878]
164,651484,Psycho Sex Killer,1970-12-09,Psycho,,[53]
165,562601,Le Psychodrame,1956-01-01,Psycho,self,[18]
166,268290,The Psychology of Dream Analysis,2002-01-01,Psycho,Lillian,"[18, 14]"
167,795756,Psychosis,2020-01-09,Psycho,John,"[878, 27, 53]"
168,496985,Psychophonia,2016-10-07,Psycho,Lilly,"[27, 878, 53, 18, 80, 9648]"
169,151782,Psycho Jack,2000-01-01,Psycho,Jack,[27]
170,457936,Rodney Cecil: Psycho Hero,2011-04-04,Psycho,Rodney Cecil,[]
171,276366,Psycho Weene,2006-01-01,Psycho,[],[]
172,499482,Psychomanteum,2018-07-26,Psycho,,[27]
173,423128,Psycho Path,2000-02-10,Psycho,Himself,[99]
174,29118,Psycho a Go-Go,1965-01-01,Psycho,Joe Corey,"[80, 878, 27]"
175,195027,Psychomontage,1963-12-30,Psycho,[],[]
176,1050274,Schizopolis 2: Psycho Killer,2022-11-13,Psycho,Chris Brown,[53]
177,97734,Lupin the Third: Strange Psychokinetic Strategy,1974-08-03,Psycho,Arsene Lupin the III,"[28, 35, 80]"
178,534533,Psychologie des Orgasmus,1970-09-18,Psycho,,[35]
179,625776,David Harewood: Psychosis and Me,2019-05-16,Psycho,David Harewood,[99]
180,418576,Psychogenic Fugue,2016-09-27,Psycho,All characters,[53]
181,302347,VHS Forever?: Psychotronic People,2014-09-20,Psycho,Himself / Presenter,[99]
182,1089720,Double Fine PsychOdyssey,2023-02-10,Psycho,[],[99]
183,416681,Psychotic State,2014-03-01,Psycho,David Coleman,[27]
184,572433,Psycho Magnet,,Psycho,Fern,[]
185,273923,Prison of the Psychotic Damned,2006-06-06,Psycho,Kansas,[27]
186,881581,Cinema Psycho,2021-10-04,Psycho,Personaje,[]
187,446448,Psychon Invaders,2006-01-01,Psycho,Sarah McKinnis,"[28, 878, 35]"
188,96955,Science of the Soul: the Story of Transpersonal Psychology,2007-11-15,Psycho,himself,[]
189,875893,Video Psycho,1997-08-20,Psycho,Kylie,[27]
190,919048,Psycho 60,2020-10-15,Psycho,Marion Crane,[]
191,767528,Psychopath,2020-07-21,Psycho,,[27]
192,775481,Psycho Therapy,2020-04-23,Psycho,,[27]
193,856684,Psychology  of Secrets,2013-03-30,Psycho,,[18]
194,853043,Promising Psychopath,2020-10-31,Psycho,The Boy,[27]
195,597474,Moto Psycho,2012-10-31,Psycho,[],[]
196,860165,Psycho : dans les urgences du 93,,Psycho,[],[99]
197,599776,Psychedelic Psychopaths,2019-01-11,Psycho,,[27]
198,345856,Der Psycho Pate,2010-10-02,Psycho,Tony,[35]
199,605215,Psycho Killers,,Psycho,Dylan Graves,"[35, 27]"
200,853043,Promising Psychopath,2020-10-31,Psycho,The Boy,[27]
201,856684,Psychology  of Secrets,2013-03-30,Psycho,,[18]
202,442223,Psycho-motorische Geräuschaktion,1967-01-01,Psycho,,"[18, 35]"
203,947000,Psychogenic Fragments,1994-01-01,Psycho,[],[]
204,947122,Psychodrame d'un mariage,1964-10-28,Psycho,,[]
205,681582,Psycho Path,2019-09-14,Psycho,Laurel Rhodes,[27]
206,437022,Psychopath,,Psycho,[],[]
207,684851,Psychoromantic,2016-04-01,Psycho,Tsubasa Suzuki,"[18, 80, 14]"
208,678978,Une cellule psychologique a été mise en place,2008-09-18,Psycho,,[99]
209,802955,Muse: Psycho UK Tour (Bonus),2015-01-01,Psycho,[],[]
210,803110,JAPANARAMA! Psycho TV From Japan Vol. 2,,Psycho,[],[35]
211,803112,JAPANARAMA! Psycho TV From Japan Vol. 3,,Psycho,[],[35]
212,275770,Psychobilly: Behind the Music,2006-01-01,Psycho,[],[]
213,1049437,Psychology of Camera Presence,1974-02-09,Psycho,[],[]
214,801927,Psycho/Viennale Spot,1997-09-01,Psycho,[],[]
215,555648,Miss Psychorama 1986,,Psycho,[],"[27, 35]"
216,1048451,Psychoward,,Psycho,,[]
217,1049078,Psycho Sex Killer,1991-11-11,Psycho,[],"[80, 28]"
218,786811,Psycho Pussy Slaughter,2007-01-01,Psycho,[],[]
219,791163,A PSYCHO,2013-01-01,Psycho,Jack,"[53, 28]"
220,390830,Psychopomp,2016-03-30,Psycho,Allie,"[35, 18]"
221,640974,Randy Fabert's Psycho Killer,,Psycho,Detective Childs,[]
222,392713,Kiss [1999] Psycho Circus in Buenos Aires,1999-04-10,Psycho,[],[]
223,896940,Psychopaths,,Psycho,[],[]
224,386338,Psycho City,2014-03-07,Psycho,[],[16]
225,642059,Call Me a Psycho,,Psycho,,[]
226,650878,Psychopath,,Psycho,Dominic,[]
227,916397,Mama's Boy: Psycho Strangler,,Psycho,[],[]
228,915507,The 7/7 Bombers: A Psychological Investigation,2005-10-27,Psycho,Voice,[99]
229,650822,7th psychopath,2019-11-11,Psycho,Herself,"[99, 35, 10749]"
230,931468,Psycho Money,2022-01-26,Psycho,"Aaron AKA ""Wrath""",[80]
231,662012,Psycho Trauma,2018-02-19,Psycho,Sera Nivens,[]
