,id,poster_path,adult,overview,release_date,genre_ids,original_title,original_language,title,backdrop_path,popularity,vote_count,video,vote_average,media_type,poster_path_drop,adult_drop,overview_drop,release_date_drop,genre_ids_drop,original_title_drop,original_language_drop,title_drop,backdrop_path_drop,popularity_drop,vote_count_drop,video_drop,vote_average_drop,media_type_drop
415,858015,/xdddNi35jI3u7e8vgXpo5eQVKrG.jpg,False,"Al comienzo de la pandemia, un músico de improvisación de transmisión en vivo indulgente y autoengañado abandona Los Ángeles por Londres, roba el auto de su excompañero de banda y toma la fatídica decisión de llevar a una anciana que no es lo que parece.",2022-06-03,"[27, 53, 35]",Dashcam,en,Dashcam,/iQazIvjYsrQpfTOjep6GeQq5N9D.jpg,6.195,51,False,5.3,movie,/xdddNi35jI3u7e8vgXpo5eQVKrG.jpg,False,"Al comienzo de la pandemia, un músico de improvisación de transmisión en vivo indulgente y autoengañado abandona Los Ángeles por Londres, roba el auto de su excompañero de banda y toma la fatídica decisión de llevar a una anciana que no es lo que parece.",2022-06-03,"[27, 53, 35]",Dashcam,en,Dashcam,/iQazIvjYsrQpfTOjep6GeQq5N9D.jpg,6.195,51,False,5.3,movie
416,28070,/7f5rqo6Y6A7KmgqmfKWfffiCBL5.jpg,False,"Unos vigilantes enloquecidos y de tendencias neo-nazis intentan dominar las playas de California después de los efectos devastadores de un terremoto que acaba con la vida de la mayoría de la población de la costa de los Estados Unidos. Una banda rival de surferos retan a los surfistas nazis y las playas californianas se convierten en verdaderos campos de batalla. La única persona que puede enfrentarse con éxito a los surfistas nazis es Leroy Mama, la vengadora madre de un chico que murió en manos de estos surfistas de Ultraderecha. (FILMAFFINITY)",1987-07-03,"[28, 35, 18, 27]",Surf Nazis Must Die,en,Los surfistas nazis deben morir,/cwS7oXcv7KXsMn29l4xXMLms6Uj.jpg,6.301,90,False,3.6,movie,/7f5rqo6Y6A7KmgqmfKWfffiCBL5.jpg,False,"Unos vigilantes enloquecidos y de tendencias neo-nazis intentan dominar las playas de California después de los efectos devastadores de un terremoto que acaba con la vida de la mayoría de la población de la costa de los Estados Unidos. Una banda rival de surferos retan a los surfistas nazis y las playas californianas se convierten en verdaderos campos de batalla. La única persona que puede enfrentarse con éxito a los surfistas nazis es Leroy Mama, la vengadora madre de un chico que murió en manos de estos surfistas de Ultraderecha. (FILMAFFINITY)",1987-07-03,"[28, 35, 18, 27]",Surf Nazis Must Die,en,Los surfistas nazis deben morir,/cwS7oXcv7KXsMn29l4xXMLms6Uj.jpg,6.301,90,False,3.6,movie
417,33723,/nXWZQ6D7JoVHQ6oW674w0akdkyi.jpg,False,"Algunos creen que nuestro mundo es uno de tantos; que nuestra existencia es meramente una intersección entre varias dimensiones, conocidas y desconocidas. Nos cruzamos con extraños a los que no vemos, se tararean canciones que no oímos. La mayoría de nosotros nunca permanecemos ignorantes a estos hechos. Entre los muchos ritos y prácticas existentes hay uno, el rito del Ocho, que es el más poderoso método para contactar con el mundo espiritual. Nadie parece conocer su origen pero nadie duda de su autenticidad, porque como cualquier otro mito insondable, aquellos que lo han probado nunca han regresado para explicarlo.",2005-03-24,"[53, 35, 27]",見鬼10,cn,The Eye... Infinity,/pPhsUFHZWLeoxxHKgZxdvKesOgE.jpg,4.961,62,False,5.1,movie,/nXWZQ6D7JoVHQ6oW674w0akdkyi.jpg,False,"Algunos creen que nuestro mundo es uno de tantos; que nuestra existencia es meramente una intersección entre varias dimensiones, conocidas y desconocidas. Nos cruzamos con extraños a los que no vemos, se tararean canciones que no oímos. La mayoría de nosotros nunca permanecemos ignorantes a estos hechos. Entre los muchos ritos y prácticas existentes hay uno, el rito del Ocho, que es el más poderoso método para contactar con el mundo espiritual. Nadie parece conocer su origen pero nadie duda de su autenticidad, porque como cualquier otro mito insondable, aquellos que lo han probado nunca han regresado para explicarlo.",2005-03-24,"[53, 35, 27]",見鬼10,cn,The Eye... Infinity,/pPhsUFHZWLeoxxHKgZxdvKesOgE.jpg,4.961,62,False,5.1,movie
418,13561,/gzwNjaoamQ8WMuD62WTfu7NWoA1.jpg,False,"Un hombre recibe una invitación para asistir a una fiesta de Halloween, ignorando que ha sido organizada por un grupo de artistas asesinos que luchan por una beca. (FILMAFFINITY)",2007-10-12,"[35, 27]",Murder Party,en,Fiesta Asesina,/rOf7zyAKPncD6LeBQN2SMUk7nh6.jpg,6.6,224,False,5.7,movie,/gzwNjaoamQ8WMuD62WTfu7NWoA1.jpg,False,"Un hombre recibe una invitación para asistir a una fiesta de Halloween, ignorando que ha sido organizada por un grupo de artistas asesinos que luchan por una beca. (FILMAFFINITY)",2007-10-12,"[35, 27]",Murder Party,en,Fiesta Asesina,/rOf7zyAKPncD6LeBQN2SMUk7nh6.jpg,6.6,224,False,5.7,movie
419,320413,/A6rEKUIDoJebQygLr7hxVCoe8Fz.jpg,False,El film se centra en un padre y un hijo que realizan un tour por las discotecas de Los Angeles cuando una atractiva y seductora mujer se cruza en su camino. Padre e hijo empiezan una competición para hacerse con la atención de la chica a la vez que un grasiento e inhumano maníaco toma las calles en plena noche asesinando a inocentes. Es conocido como The Greasy Strangler.,2016-10-07,"[35, 27, 53]",The Greasy Strangler,en,The Greasy Strangler,/flz1hSZTUl5wNs2i4nmcyX8Tg7n.jpg,7.853,156,False,5.6,movie,/A6rEKUIDoJebQygLr7hxVCoe8Fz.jpg,False,El film se centra en un padre y un hijo que realizan un tour por las discotecas de Los Angeles cuando una atractiva y seductora mujer se cruza en su camino. Padre e hijo empiezan una competición para hacerse con la atención de la chica a la vez que un grasiento e inhumano maníaco toma las calles en plena noche asesinando a inocentes. Es conocido como The Greasy Strangler.,2016-10-07,"[35, 27, 53]",The Greasy Strangler,en,The Greasy Strangler,/flz1hSZTUl5wNs2i4nmcyX8Tg7n.jpg,7.853,156,False,5.6,movie
420,34023,/12N9DBdyrIzeQOFIHfe738Dz2Ta.jpg,False,"Sardú es el maestro de ceremonias del Teatro Macabro, en el cual él se dedica a asesinar personas en público, haciéndolo parecer como parte de su acto.",1976-11-03,"[27, 35]",Bloodsucking Freaks,en,Sardú,,7.536,98,False,4.9,movie,/12N9DBdyrIzeQOFIHfe738Dz2Ta.jpg,False,"Sardú es el maestro de ceremonias del Teatro Macabro, en el cual él se dedica a asesinar personas en público, haciéndolo parecer como parte de su acto.",1976-11-03,"[27, 35]",Bloodsucking Freaks,en,Sardú,,7.536,98,False,4.9,movie
421,167733,/zQh9Qi8QG3QXMkzTMGp44siPvk1.jpg,False,"Wayne Gretzky es un vampiro al que no le crecen los colmillos desde que asesinó por error a María Lipinsky, el amor de su vida, hace 300 años. Para olvidar el dolor de su pérdida, mantiene su mente ocupada enseñando historia en la universidad. En un intento desesperado por recuperar todo su poder, pide la ayuda de su amigo, el Doctor Levine. Nada funciona, hasta que en el nuevo semestre aparece la estudiante Chris Keller. Ella es la viva imagen de María. Pero las cosas se complican cuando transforma a Chris en un vampiro y su sed de sangre la domina por completo.",2013-02-27,"[28, 35, 27]",Vamp U,en,Vamp U,/1NxJgUyxILeeHJOp17LBvIHwnfg.jpg,7.918,69,False,4.6,movie,/zQh9Qi8QG3QXMkzTMGp44siPvk1.jpg,False,"Wayne Gretzky es un vampiro al que no le crecen los colmillos desde que asesinó por error a María Lipinsky, el amor de su vida, hace 300 años. Para olvidar el dolor de su pérdida, mantiene su mente ocupada enseñando historia en la universidad. En un intento desesperado por recuperar todo su poder, pide la ayuda de su amigo, el Doctor Levine. Nada funciona, hasta que en el nuevo semestre aparece la estudiante Chris Keller. Ella es la viva imagen de María. Pero las cosas se complican cuando transforma a Chris en un vampiro y su sed de sangre la domina por completo.",2013-02-27,"[28, 35, 27]",Vamp U,en,Vamp U,/1NxJgUyxILeeHJOp17LBvIHwnfg.jpg,7.918,69,False,4.6,movie
422,136585,/elpbF2qmAh6T9U0vYDjFTt4BHy6.jpg,False,Unas lesbianas adolescentes luchan contra unos compañeros de clases mutantes en la escuela secundaria Tromaville.,2014-01-10,"[35, 27, 878]",Return to Nuke 'Em High Volume 1,en,Return to Nuke 'Em High Volume 1,/obCDcu6QIYMHX99phK10BM0BKRc.jpg,7.848,131,False,6.3,movie,/elpbF2qmAh6T9U0vYDjFTt4BHy6.jpg,False,Unas lesbianas adolescentes luchan contra unos compañeros de clases mutantes en la escuela secundaria Tromaville.,2014-01-10,"[35, 27, 878]",Return to Nuke 'Em High Volume 1,en,Return to Nuke 'Em High Volume 1,/obCDcu6QIYMHX99phK10BM0BKRc.jpg,7.848,131,False,6.3,movie
423,39875,/x86D84aI7PpNLLIx687ZZ7AkoWA.jpg,False,,1991-02-01,"[35, 27]",Popcorn,en,Popcorn,/waIOV7MBwHzFkAUe4a4CRFBzrop.jpg,6.836,100,False,5.7,movie,/x86D84aI7PpNLLIx687ZZ7AkoWA.jpg,False,,1991-02-01,"[35, 27]",Popcorn,en,Popcorn,/waIOV7MBwHzFkAUe4a4CRFBzrop.jpg,6.836,100,False,5.7,movie
424,301566,/mloofB4SaWLJCh1eGHb0dPvVybE.jpg,False,,2014-10-27,"[35, 27, 80, 10770]",Too Many Cooks,en,Too Many Cooks,/kGmnCCU3bl4AhAIUfvJlYnX51mT.jpg,4.529,90,False,7.9,movie,/mloofB4SaWLJCh1eGHb0dPvVybE.jpg,False,,2014-10-27,"[35, 27, 80, 10770]",Too Many Cooks,en,Too Many Cooks,/kGmnCCU3bl4AhAIUfvJlYnX51mT.jpg,4.529,90,False,7.9,movie
425,43274,/1r9oeulz9KTpAlJqzu82Gv3WFMC.jpg,False,"Un veterano reportero, Buzzy Crocker (Steve Guttenberg), buscando escribir de nuevo una noticia de portada, investiga la historia de una vieja señora sobre la desaparición de cinco personas, incluyendo a una querida actriz infantil, que tuvo lugar en el Hotel Hollywood en los años treinta. Todo el mundo dice que el hotel está ahora encantado. Buzzy, ayudado por su sobrina Anna (Kirsten Dunst), intentará descubrir por qué...",1997-10-26,"[53, 35, 10751, 27, 10770]",Tower of Terror,en,La torre del terror,/9bggx9y9TNFIYSgXwIbB7v9zJFi.jpg,7.934,87,False,6.4,movie,/1r9oeulz9KTpAlJqzu82Gv3WFMC.jpg,False,"Un veterano reportero, Buzzy Crocker (Steve Guttenberg), buscando escribir de nuevo una noticia de portada, investiga la historia de una vieja señora sobre la desaparición de cinco personas, incluyendo a una querida actriz infantil, que tuvo lugar en el Hotel Hollywood en los años treinta. Todo el mundo dice que el hotel está ahora encantado. Buzzy, ayudado por su sobrina Anna (Kirsten Dunst), intentará descubrir por qué...",1997-10-26,"[53, 35, 10751, 27, 10770]",Tower of Terror,en,La torre del terror,/9bggx9y9TNFIYSgXwIbB7v9zJFi.jpg,7.934,87,False,6.4,movie
