,0
799,88
800,102
801,100
802,90
803,89
804,109
805,105
806,130
807,84
808,102
809,116
810,90
811,115
812,86
813,74
814,96
815,81
816,101
817,78
818,92
819,84
820,90
821,98
822,94
823,99
824,106
825,77
826,92
827,105
828,135
829,98
830,143
831,106
832,119
833,97
834,88
835,90
836,95
837,102
838,122
839,96
840,93
841,100
842,93
843,88
844,94
845,93
846,84
847,116
848,91
849,79
850,98
851,98
852,86
853,107
854,88
855,100
856,81
857,89
858,99
859,98
860,129
861,91
862,85
863,89
864,116
865,114
866,101
867,80
868,106
869,81
870,97
871,104
872,106
873,111
874,85
875,90
876,93
877,116
878,96
879,107
880,100
881,101
882,88
883,93
884,82
885,125
886,99
887,82
888,97
889,87
890,99
891,80
892,107
893,103
894,98
895,88
896,93
897,68
898,105
899,73
900,105
901,82
902,102
903,85
904,92
905,101
906,91
907,90
908,110
909,104
910,88
911,90
912,87
913,115
914,90
915,90
916,93
917,96
918,93
919,119
920,124
921,93
922,88
923,129
924,70
925,79
926,89
927,79
928,80
929,90
930,103
931,82
932,101
933,92
934,89
935,90
936,10
937,96
938,82
939,108
940,94
941,110
942,89
943,95
944,93
945,90
946,94
947,90
948,91
949,105
950,95
951,95
952,97
953,86
954,93
955,91
956,90
957,105
958,107
959,75
960,110
961,103
962,93
963,96
964,97
965,84
966,88
967,101
968,115
969,74
970,95
971,96
972,98
973,91
974,86
975,92
976,84
977,80
978,128
979,85
980,91
981,85
982,93
983,90
984,97
985,108
986,81
987,91
988,92
989,101
990,108
991,85
992,80
993,94
994,93
995,102
996,84
997,104
998,89
999,103
1000,94
1001,83
1002,85
1003,91
1004,99
1005,122
1006,98
1007,93
1008,105
1009,94
1010,99
1011,101
1012,95
1013,81
1014,72
1015,148
1016,90
1017,98
1018,84
1019,95
1020,103
1021,86
1022,95
1023,107
1024,82
1025,94
1026,98
1027,85
1028,94
1029,108
1030,94
1031,97
1032,92
1033,90
1034,90
1035,89
1036,86
1037,86
1038,91
1039,100
1040,87
1041,85
1042,98
1043,93
1044,110
1045,74
1046,92
1047,105
1048,94
1049,84
1050,99
1051,108
1052,104
1053,96
1054,88
1055,82
1056,83
1057,95
1058,89
1059,77
1060,93
1061,117
1062,98
1063,98
1064,102
1065,89
1066,85
1067,95
1068,91
1069,85
1070,100
1071,92
1072,130
1073,90
1074,86
1075,80
1076,92
1077,94
1078,108
1079,87
1080,90
1081,110
1082,98
1083,93
1084,100
1085,90
1086,86
1087,90
1088,90
1089,90
1090,73
1091,86
1092,98
1093,99
1094,93
1095,88
1096,82
1097,90
1098,102
1099,90
1100,93
1101,118
1102,89
1103,108
1104,104
1105,111
1106,89
1107,98
1108,100
1109,84
1110,118
1111,101
1112,75
1113,105
1114,91
1115,105
1116,80
1117,97
1118,87
1119,98
1120,90
1121,90
1122,120
1123,105
1124,92
1125,86
1126,123
1127,89
1128,101
1129,100
1130,87
1131,99
1132,104
1133,105
1134,107
1135,94
1136,89
1137,110
1138,100
1139,92
1140,83
1141,90
1142,96
1143,94
1144,71
1145,88
1146,92
1147,7
1148,116
1149,95
1150,89
1151,92
1152,113
1153,101
1154,134
1155,85
1156,113
1157,98
1158,120
1159,93
1160,96
1161,104
1162,90
1163,85
1164,83
1165,83
1166,92
1167,95
1168,94
1169,88
1170,101
1171,90
1172,128
1173,88
1174,109
1175,99
1176,76
1177,85
1178,90
1179,87
1180,110
1181,82
1182,78
1183,116
1184,109
1185,87
1186,86
1187,97
1188,92
1189,95
1190,114
1191,87
1192,0
1193,121
1194,105
1195,86
1196,85
1197,97
1198,110
1199,93
1200,82
1201,84
1202,100
1203,96
1204,100
1205,96
1206,105
1207,101
1208,109
1209,101
1210,82
1211,88
1212,92
1213,65
1214,98
1215,129
1216,91
1217,117
1218,81
1219,96
1220,96
1221,94
1222,98
1223,107
1224,89
1225,106
1226,92
1227,103
1228,81
1229,85
1230,82
1231,95
1232,88
1233,91
1234,99
1235,109
1236,82
1237,129
1238,90
1239,110
1240,123
1241,91
1242,91
1243,105
1244,83
1245,113
1246,86
1247,89
1248,77
1249,104
1250,92
1251,77
1252,99
1253,95
1254,91
1255,99
1256,88
1257,179
1258,96
1259,87
1260,92
1261,93
1262,145
1263,135
1264,112
1265,99
1266,85
1267,107
1268,85
1269,125
1270,80
1271,91
1272,121
1273,124
1274,96
1275,95
1276,92
1277,90
1278,86
1279,71
1280,75
1281,115
1282,84
1283,99
1284,90
1285,86
1286,104
1287,85
1288,90
1289,118
1290,105
1291,97
1292,93
1293,96
1294,93
1295,90
1296,81
1297,88
1298,83
1299,86
1300,109
1301,105
1302,82
1303,99
1304,109
1305,116
1306,86
1307,84
1308,119
1309,0
1310,89
1311,101
1312,90
1313,90
1314,134
1315,89
1316,101
1317,88
1318,110
1319,101
1320,89
1321,112
1322,90
1323,85
1324,86
1325,73
1326,115
1327,0
1328,126
1329,91
1330,96
1331,85
1332,90
1333,112
1334,104
1335,82
1336,91
1337,109
1338,81
1339,90
1340,95
1341,90
1342,97
1343,85
1344,86
1345,91
1346,94
1347,76
1348,93
1349,3
1350,99
1351,90
1352,91
1353,103
1354,93
1355,102
1356,98
1357,90
1358,102
1359,13
1360,94
1361,48
1362,110
1363,90
1364,98
1365,103
1366,89
1367,96
1368,106
1369,94
1370,86
1371,84
1372,98
1373,95
1374,119
1375,95
1376,93
1377,89
1378,101
1379,90
1380,91
1381,89
1382,99
1383,85
1384,88
1385,83
1386,83
1387,77
1388,82
1389,102
1390,92
1391,89
1392,95
1393,92
1394,103
1395,81
1396,103
1397,98
1398,92
1399,102
1400,87
1401,113
1402,105
1403,98
1404,81
1405,96
1406,89
1407,93
1408,115
1409,102
1410,110
1411,84
1412,88
1413,134
1414,144
1415,127
1416,87
1417,101
1418,240
1419,75
1420,70
1421,90
1422,91
1423,111
1424,76
1425,100
1426,99
1427,104
1428,91
1429,94
1430,83
1431,92
1432,106
1433,103
1434,96
1435,88
1436,158
1437,86
1438,90
1439,90
1440,100
1441,101
1442,106
1443,91
1444,100
1445,85
1446,93
1447,86
1448,101
1449,87
1450,91
1451,85
1452,86
1453,89
1454,101
1455,109
1456,89
1457,83
1458,101
1459,98
1460,107
1461,89
1462,87
1463,85
1464,82
1465,93
1466,82
1467,92
1468,85
1469,95
1470,82
1471,90
1472,110
1473,96
1474,25
1475,90
1476,80
1477,90
1478,85
1479,92
1480,117
1481,87
1482,72
1483,93
1484,85
1485,89
1486,89
1487,103
1488,98
1489,91
1490,85
1491,92
1492,89
1493,94
1494,89
1495,87
1496,97
1497,95
1498,93
1499,113
1500,79
1501,99
1502,111
1503,80
1504,92
1505,102
1506,87
1507,89
1508,95
1509,84
1510,85
1511,83
1512,93
1513,82
1514,90
1515,89
1516,80
1517,92
1518,89
1519,89
1520,85
1521,100
1522,88
1523,111
1524,94
1525,93
1526,91
1527,119
1528,98
1529,97
1530,90
1531,89
1532,78
1533,81
1534,71
1535,114
1536,86
1537,95
1538,124
1539,73
1540,88
1541,77
1542,92
1543,99
1544,86
1545,99
1546,109
1547,87
1548,93
1549,88
1550,88
1551,92
